BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","ISI:000456188500001","Abualsaud, Khalid; Elfouly, Tarek M.; Khattab, Tamer; Yaacoub, Elias; Ismail, Loay Sabry; Ahmed, Mohamed Hossam; Guizani, Mohsen","A Survey on Mobile Crowd-Sensing and Its Applications in the IoT Era","{IEEE ACCESS}",{7},,"","{3855-3881}",{2019},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{Mobile crowd-sensing (MCS) is a new sensing paradigm that takes
    themselves from these issues whenever they use social media.}","","{OSN; security; classic privacy threats; modern threats}","",""
7,"","ISI:000437394700008","Al-Mayouf, Yusor Rafid Bahar; Abdullah, Nor Fadzilah; Mahdi, Omar Adil; Khan, Suleman; Ismail, Mahamod; Guizani, Mohsen; Ahmed, Syed Hassan","Real-Time Intersection-Based Segment Aware Routing Algorithm for Urban Vehicular Networks","{IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS}",{19},{7},"{JUL}","{2125-2141}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{High vehicular mobility causes frequent changes in the density of
    vehicles, discontinuity in inter-vehicle communication, and constraints
    for routing protocols in vehicular ad hoc networks (VANETs). The routing
    must avoid forwarding packets through segments with low network density
    and high scale of network disconnections that may result in packet loss,
    delays, and increased communication overhead in route recovery.
    Therefore, both traffic and segment status must be considered. This
    paper presents real-time intersection-based segment aware routing
    (RTISAR), an intersection-based segment aware algorithm for geographic
    routing in VANETs. This routing algorithm provides an optimal route for
    forwarding the data packets toward their destination by considering the
    traffic segment status when choosing the next intersection. RTISAR
    presents a new formula for assessing segment status based on
    connectivity, density, load segment, and cumulative distance toward the
    destination. A verity period mechanism is proposed to denote the
    projected period when a network failure is likely to occur in a
    particular segment. This mechanism can be calculated for each collector
    packet to minimize the frequency of RTISAR execution and to control the
    generation of collector packets. As a result, this mechanism minimizes
    the communication overhead generated during the segment status
    computation process. Simulations are performed to evaluate RTISAR, and
    the results are compared with those of intersection-based connectivity
    aware routing and traffic flow-oriented routing. The evaluation results
    provided evidence that RTISAR outperforms in terms of packet delivery
    ratio, packet delivery delay, and communication overhead.}","","{Communication overhead; VANETs; segment aware}","",""
7,"","ISI:000451262300093","Ansari, Rafay Iqbal; Chrysostomou, Chrysostomos; Hassan, Syed Ali; Guizani, Mohsen; Mumtaz, Shahid; Rodriguez, Jonathan; Rodrigues, Joel J. P. C.","5G D2D Networks: Techniques, Challenges, and Future Prospects","{IEEE SYSTEMS JOURNAL}",{12},{4},"{DEC}","{3970-3984}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{The increasing number of mobile users has given impetus to the demand
    for high data rate proximity services. The fifth-generation (5G)
    wireless systems promise to improve the existing technology according to
    the future demands and provide a road map for reliable and
    resource-efficient solutions. Device-to-device (D2D) communication has
    been envisioned as an allied technology of 5G wireless systems for
    providing services that include live data and video sharing. AD2D
    communication technique opens new horizons of device-centric
    communications, i.e., exploiting direct D2D links instead of relying
    solely on cellular links. Offloading traffic from traditional
    network-centric entities to D2D network enables low computational
    complexity at the base station besides increasing the network capacity.
    However, there are several challenges associated with D2D communication.
    In this paper, we present a survey of the existing methodologies related
    to aspects such as interference management, network discovery, proximity
    services, and network security in D2D networks. We conclude by
    introducing new dimensions with regard to D2D communication and
    delineate aspects that require further research.}","","{Device-to-device (D2D) communication; millimeter wave (mmWave); network discovery; proximity services (ProSe); simultaneous wireless and information power transfer (SWIPT); vehicle-to-vehicle (V2V) network}","",""
7,"","ISI:000444805800024","Balti, Elyes; Guizani, Mohsen","Mixed RF/FSO Cooperative Relaying Systems With Co-Channel Interference","{IEEE TRANSACTIONS ON COMMUNICATIONS}",{66},{9},"{SEP}","{4014-4027}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{In this paper, we provide a global framework analysis of a dual-hop
    mixed radio frequency (RF)/free space optical (FSO) system with multiple
    branches/relays wherein the first and second hops, respectively, consist
    of RF and FSO channels. To cover various cases of fading, we propose
    generalized channels' models for RF and FSO links that follow the
    Nakagami-m and the double generalized gamma distributions, respectively.
    Moreover, we suggest channel state information (CSI)-assisted relaying
    or variable relaying gain based amplify-and-forward amplification.
    Partial relay selection with outdated CSI is assumed as a relay
    selection protocol based on the knowledge of the RI? CSI. In order to
    derive the end-to-end signal-to-interference-plus-noise ratio
    statistics, such as the cumulative distribution function, the
    probability density function, the higher order moments, the amount of
    fading and the moment generating function, the numerical values of the
    fading severity parameters are only valid for integer values. Based on
    these statistics, we derive closed-forms of the outage probability, the
    bit error probability, the ergodic capacity, and the outage capacity in
    terms of Meijer-G, univariate, bivariate, and trivariate Fox-H
    functions. Capitalizing on these expressions, we derive the asymptotic
    high SNR to unpack valuable engineering insights of the system
    performance. Monte Carlo simulation is used to confirm the analytical
    expressions.}","","{Nakagami-m; double generalized gamma; co-channel interference; outdated CSI; CSI-assisted relaying; multiple branchs/relays}","",""
7,"","ISI:000445981400008","Chen, Sijia; Song, Bin; Guo, Jie; Zhang, Yanling; Du, Xiaojiang; Guizani, Mohsen","FPAN: Fine-grained and progressive attention localization network for data retrieval","{COMPUTER NETWORKS}",{143},,"{OCT 9}","{98-111}",{2018},"{PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS}","","","","","","","","{ELSEVIER SCIENCE BV}","","","","","","","{The localization of the target object for data retrieval is a key issue
    in the Intelligent and Connected Transportation Systems (ICTS). However,
    due to the lack of intelligence in the traditional transportation
    system, it takes a lot of resources to manually retrieve and locate the
    queried objects from a large number of images. In order to solve this
    issue, we propose an effective method for query-based object
    localization, which uses artificial intelligence techniques to
    automatically locate the queried object in complex backgrounds. The
    proposed method is termed as Fine-grained and Progressive Attention
    Localization Network (FPAN), which uses an image and a queried object as
    input to accurately locate the target object in the image. Specifically,
    the fine-grained attention module is naturally embedded into each layer
    of a convolution neural network (CNN), thereby gradually suppressing the
    regions that are irrelevant to the queried object and eventually
    focusing attention on the target area. We further employ top-down
    attentions fusion algorithm operated by a learnable cascade up-sampling
    structure to establish the connection between the attention map and the
    exact location of the queried object in the original image. Furthermore,
    the FPAN is trained by multi-task learning with box segmentation loss
    and cosine loss. At last, we conduct comprehensive experiments on both
    queried-based digit localization and object tracking with synthetic and
    benchmark datasets. The experimental results show that our algorithm is
    far superior than other algorithms on the synthesis datasets and
    outperforms most existing trackers on the OTB and VOT datasets. (C) 2018
    Elsevier B.V. All rights reserved.}","","{Query-based object localization; Fine-grained attention; Progressive attention; Unified framework; Fully convolution localization network}","",""
7,"","ISI:000449992000007","Chen, Xi; Li, Zonghang; Zhang, Yupeng; Long, Ruiming; Yu, Hongfang; Du, Xiaojiang; Guizani, Mohsen","Reinforcement learning-based QoS/QoE-aware service function chaining in software-driven 5G slices","{TRANSACTIONS ON EMERGING TELECOMMUNICATIONS TECHNOLOGIES}",{29},{11, SI},"{NOV}","",{2018},"{111 RIVER ST, HOBOKEN 07030-5774, NJ USA}","","","","","","","","{WILEY}","","","","","","","{With the ever-growing diversity of devices and applications that will be
    connected to 5G networks, flexible and agile service orchestration with
    acknowledged quality of experience (QoE) that satisfies the end user's
    functional and quality-of-service (QoS) requirements is necessary.
    Software-defined networking (SDN) and network function virtualization
    (NFV) are considered key enabling technologies for 5G core networks. In
    this regard, this paper proposes a reinforcement learning-based
    QoS/QoE-aware service function chaining (SFC) scheme in SDN/NFV-enabled
    5G slices. First, it implements a lightweight QoS information collector
    based on the Link Layer Discovery Protocol, which works in a piggyback
    fashion on the southbound interface of the SDN controller, to enable
    QoS-awareness. Then, a deep Q-network-based orchestration agent is
    designed to support SFC in the context of NFV. The agent takes into
    account the QoE and QoS as key aspects to formulate the reward so that
    it is expected to maximize QoE while respecting QoS constraints. The
    experiment results show that the proposed framework exhibits good
    performance in QoE provisioning and QoS requirements maintenance for SFC
    in dynamic network environments.}","","","",""
7,"","ISI:000452513000005","Dabbagh, Mehiar; Hamdaoui, Bechir; Guizani, Mohsen; Rayes, Ammar","An Energy-Efficient VM Prediction and Migration Framework for Overcommitted Clouds","{IEEE TRANSACTIONS ON CLOUD COMPUTING}",{6},{4},"{OCT-DEC}","{955-966}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{We propose an integrated, energy-efficient, resource allocation
    framework for overcommitted clouds. The framework makes great energy
    savings by 1) minimizing Physical Machine (PM) overload occurrences via
    VM resource usage monitoring and prediction, and 2) reducing the number
    of active PMs via efficient VM migration and placement. Using real
    Google data consisting of a 29-day traces collected from a cluster
    containing more than 12K PMs, we show that our proposed framework
    outperforms existing overload avoidance techniques and prior VM
    migration strategies by reducing the number of unpredicted overloads,
    minimizing migration overhead, increasing resource utilization, and
    reducing cloud energy consumption.}","","{Energy efficiency; VM migration; workload prediction; cloud computing}","",""
7,"","ISI:000456768700001","Din, Ikram Ud; Guizani, Mohsen; Hassan, Suhaidi; Kim, Byung-Seo; Khan, Muhammad Khurram; Atiquzzaman, Mohammed; Ahmed, Syed Hassan","The Internet of Things: A Review of Enabled Technologies and Future Challenges","{IEEE ACCESS}",{7},,"","{7606-7640}",{2019},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{The Internet of Things (IoT) is an emerging classical model, envisioned
    as a system of billions of small interconnected devices for posing the
    state-of-the-art findings to real-world glitches. Over the last decade,
    there has been an increasing research concentration in the IoT as an
    essential design of the constant convergence between human behaviors and
    their images on Information Technology. With the development of
    technologies, the IoT drives the deployment of across-the-board and
    self-organizing wireless networks. The IoT model is progressing toward
    the notion of a cyber-physical world, where things can be originated,
    driven, intermixed, and modernized to facilitate the emergence of any
    feasible association. This paper provides a summary of the existing IoT
    research that underlines enabling technologies, such as fog computing,
    wireless sensor networks, data mining, context awareness, real-time
    analytics, virtual reality, and cellular communications. Also, we
    present the lessons learned after acquiring a thorough representation of
    the subject. Thus, by identifying numerous open research challenges, it
    is presumed to drag more consideration into this novel paradigm.}","","{Internet of Things; fog computing; wireless sensor networks; smart cities; cellular IoT; real-time analytics}","",""
7,"","ISI:000451598900367","Din, Ikram Ud; Kim, Byung-Seo; Hassan, Suhaidi; Guizani, Mohsen; Atiquzzaman, Mohammed; Rodrigues, Joel J. P. C.","Information-Centric Network-Based Vehicular Communications: Overview and Research Opportunities","{SENSORS}",{18},{11},"{NOV}","",{2018},"{ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND}","","","","","","","","{MDPI}","","","","","","","{Information Centric Network (ICN) is expected to be the favorable
    deployable future Internet paradigm. ICN intends to replace the current
    IP-based model with the name-based content-centric model, as it aims at
    providing better security, scalability, and content distribution.
    However, it is a challenging task to conceive how ICN can be linked with
    the other most emerging paradigm, i.e., Vehicular Ad hoc Network
    (VANET). In this article, we present an overview of the ICN-based VANET
    approach in line with its contributions and research challenges. In
    addition, the connectivity issues of vehicular ICN model is presented
    with some other emerging paradigms, such as Software Defined Network
    (SDN), Cloud, and Edge computing. Moreover, some ICN-based VANET
    research opportunities, in terms of security, mobility, routing, naming,
    caching, and fifth generation (5G) communications, are also covered at
    the end of the paper.}","","{information-centric network; VANET; SDN; cloud; edge; 5G}","",""
7,"","ISI:000451622300005","Du, Jun; Jiang, Chunxiao; Zhang, Haijun; Ren, Yong; Guizani, Mohsen","Auction Design and Analysis for SDN-Based Traffic Offloading in Hybrid Satellite-Terrestrial Networks","{IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS}",{36},{10},"{OCT}","{2202-2217}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{Recently, hybrid satellite-terrestrial networks (H-STNs) are expected to
    support extremely high data rates and exponentially increasing demands
    of data, which require new spectrum sharing and interference control
    technology paradigms. By achieving an efficient spectrum sharing among
    H-STN, traffic offloading is a promising solution for boosting the
    capacity of traditional cellular networks. In this paper, a
    software-defined network-based spectrum sharing, and traffic offloading
    mechanism is proposed to realize the cooperation and competition between
    the ground base stations (BSs) of the cellular network and beam groups
    of the satellite-terrestrial communication (STCom) system. Assume that
    all BSs are operated by the same mobile network operator (MNO). Under
    the cooperation mode, all the BSs stop occupying a corresponding
    channel, and a selected beam group of the satellite helps offload the
    traffic from the BSs by exclusively using this channel. To facilitate
    the offloading negotiation between the MNO and satellite, we design a
    second-price auction mechanism which presents positive allocative
    externalities, i.e., other uncooperative beam groups of the satellite
    can benefit from the cooperation between BSs and the beam group
    performing offloading. Meanwhile, the unique optimal biding strategies
    for different beam groups of the satellite to achieve the symmetric
    Bayesian equilibrium as well as the expected utility of the MNO are
    derived and obtained in this paper. The performance of the proposed
    traffic offloading mechanism is validated in the simulations, which also
    reveal that there exists the unique optimal offloading threshold for the
    MNO to achieve the maximum expected utility.}","","","",""
7,"","ISI:000455159300001","Fu, Xiao; Yang, Rui; Du, Xiaojiang; Luo, Bin; Guizani, Mohsen","Timing Channel in IaaS: How to Identify and Investigate","{IEEE ACCESS}",{7},,"","{1-11}",{2019},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{Recently, the Infrastructure as a Service Cloud (IaaS) (e.g., Amazon
    EC2) has been widely used by many organizations. However, some IaaS
    security issues create serious threats to its users. A typical issue is
    the timing channel. This kind of channel can be a cross-VM information
    channel, as proven by many researchers. Owing to the fact that it is
    covert and traceless, the traditional identification methods cannot
    build an accurate analysis model and obtain a compromised result. We
    investigated the underlying behavior of the timing channel from the
    perspective of the memory activity records and summarized the signature
    of the timing channel in the underlying memory activities. An
    identification method based on the long-term behavior signatures was
    proposed. We proposed a complete set of forensics steps including
    evidence extraction, identification, record reserve, and evidence
    reports. We studied four typical timing channels, and the experiments
    showed that these channels can be detected and investigated, even with
    the disturbances from normal processes.}","","{Digital investigation; IaaS security; timing channel}","",""
7,"","ISI:000456170800001","Guizani, Mohsen","SPACE AND TERRESTRIAL INTEGRATED NETWORKS","{IEEE NETWORK}",{33},{1},"{JAN-FEB}","{2}",{2019},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","","","","",""
7,"","ISI:000446529900001","Guizani, Mohsen","Integration of Satellite and 5G Networks","{IEEE NETWORK}",{32},{5},"{SEP-OCT}","{2}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","","","","",""
7,"","ISI:000451962400001","Guizani, Mohsen","Introducing a Special Issue","{IEEE NETWORK}",{32},{6},"{NOV-DEC}","{2}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","","","","",""
7,"","ISI:000440855200001","Guizani, Mohsen","The Potential of Deep Learning","{IEEE NETWORK}",{32},{4},"{JUL-AUG}","{2}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","","","","",""
7,"","ISI:000459074000033","Guizani, Mokhtar; Yajima, Kento; Kawaguchi, Toshikazu; Ito, Ryusei; Funamizu, Naoyuki","Evaluation of in situ water electrochemical disinfection using novel carbon-based and noble metal electrodes","{EURO-MEDITERRANEAN JOURNAL FOR ENVIRONMENTAL INTEGRATION}",{3},{1},"{NOV}","",{2018},"{TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY}","","","","","","","","{SPRINGER HEIDELBERG}","","","","","","","{In this study, the morphology, chemical composition, and electrochemical
    characteristics of three carbon-based and three noble metal/alloy
    electrodes were evaluated. Measurement of free chlorine production was
    carried out using iodine-starch method. Measurement of hypochlorite
    production was performed using N,N-diethyl-p-phenylenediamine (DPD). The
    electro-catalytic activity of the electrodes was characterized using
    cyclic voltammetry (CV). Among the noble metals, the gold-palladium
    alloy electrode showed the best catalytic performance. Among the
    carbon-based electrodes, TiC showed the best catalytic performance.
    Scanning electron microscopy (SEM) images before and after reaction
    confirms the stability of the TiC electrode, proving its potential for
    long-term use. The chemical structure of the electrodes was
    characterized using X-ray photoelectron spectroscopy (XPS) and this
    showed that carbon electrodes present a trace graphene oxide structure
    (sp(3) orbitals C-OH/C-O). Moreover, the modification of porous carbon
    by vacuum-assisted TiO2 impregnation indicates that the electronic state
    of TiC did not change due to impregnation with TiO2. In summary, the TiC
    carbon-based electrode shows high stability and potential for long use.}","","{Electrochemical disinfection; Carbon electrodes; Noble metal electrodes}","",""
7,"","ISI:000455711200014","Han, Guangjie; Wang, Hao; Guizani, Mohsen; Chan, Sammy; Zhang, Wenbo","KCLP: A K-MEANS CLUSTER-BASED LOCATION PRIVACY PROTECTION SCHEME IN WSNS FOR IOT","{IEEE WIRELESS COMMUNICATIONS}",{25},{6},"{DEC}","{84-90}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{While enjoying the convenience brought by the Internet of Things (IoT),
    people also encounter many problems with wireless sensor networks
    (WSNs), the foundation of IoT. Security problems are especially of
    concern. In this article, we focus on location privacy, which is a major
    security issue in WSNs, and propose a k-means cluster-based location
    privacy (KCLP) protection scheme for IoT. To protect the source
    location, fake source nodes are used to simulate the function of the
    real sources. Then, to protect the sink location privacy, fake sink
    nodes and a specific transmission pattern are utilized. In order to
    improve safety time, a k-means cluster is applied to create clusters and
    fake packets that must pass through the area. Compared to contrasting
    algorithms, the KCLP scheme can increase the safety time and reduce
    delay at minor expense in energy consumption.}","","","",""
7,"","ISI:000442317300009","He, Daojing; Chan, Sammy; Guizani, Mohsen","Security in the Internet of Things Supported by Mobile Edge Computing","{IEEE COMMUNICATIONS MAGAZINE}",{56},{8},"{AUG}","{56-61}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{While applications of the heterogeneous Internet of Things (IoT)
    proliferate, their performance requirements in terms of latency and
    jitter become more stringent and difficult to be met by the traditional
    cloud computing paradigm. As a result, a new paradigm called
    multi-access edge computing has emerged in recent years. It complements
    the centralized cloud platform by providing additional resources at the
    edge of radio access networks, and provides better support of IoT
    applications. One of the challenges of supporting IoT applications in
    mobile edge computing (MEC) is security. In this article, we will
    scrutinize the security issues of two IoT applications that can exploit
    the benefits of MEC. The first one is an environment perception system
    based on an industrial IoT network. The second one, which is gaining
    momentum fast, is mobile IoT based on a network of unmanned aerial
    vehicles.}","","","",""
7,"","ISI:000456170800007","He, Daojing; Li, Xuru; Chan, Sammy; Gao, Jiahao; Guizani, Mohsen","Security Analysis of a Space-Based Wireless Network","{IEEE NETWORK}",{33},{1},"{JAN-FEB}","{36-43}",{2019},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{With the gradual deployment of the space-based wireless network,
    security risks in the data communication between satellites and even the
    internal structure of a satellite become extremely important. In this
    article, we use the satellite's internal communications security as an
    example to illustrate the space network security threats. We first
    provide a summary of the security requirements of space-based wireless
    networks. Then three typical attack approaches for satellite platforms
    based on MIL-STD-1553B bus are described. Subsequently, we present some
    attack simulation results and suggest some protective mechanisms.}","","","",""
7,"","ISI:000452817900007","Jiang, Jinfang; Han, Guangjie; Wang, Hao; Guizani, Mohsen","A survey on location privacy protection in Wireless Sensor Networks","{JOURNAL OF NETWORK AND COMPUTER APPLICATIONS}",{125},,"{JAN 1}","{93-114}",{2019},"{24-28 OVAL RD, LONDON NW1 7DX, ENGLAND}","","","","","","","","{ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD}","","","","","","","{Location of sensor nodes is one of the most important and fundamental
    information for Wireless Sensor Networks (WSNs), because it provides
    basic support for many location-based applications (e.g., navigation and
    object tracking) and location-aware protocols (e.g., geographic
    location-based routing protocols). However, by extracting and analyzing
    the location information in packets, attackers can easily obtain the
    real position of source nodes or base station using hop-by-hop
    backtracking strategy, which is extremely harmful for the normal
    operation of sensor networks. So, we need to provide location anonymity
    for sensor networks. In this paper, we present a detail survey of
    existing Location Privacy Protection (LPP) techniques in WSNs. First,
    the network model, the attack model and the performance evaluation model
    are reviewed. Then, this survey provides a review of the literature
    about location privacy protection, which is classified into the
    following three categories: 1) source nodes' location privacy
    preserving, 2) sink nodes' location privacy preserving, and 3) location
    privacy preserving for both source and sink nodes. The details of
    location privacy preserving protocols are carefully analyzed, and the
    key mechanisms in each protocol are elaborated. In addition, the
    performance, including the network safety period, the packet
    transmission latency and the energy consumption, is analyzed and
    compared. Finally, the exiting problems and the future research issues
    are presented.}","","{Wireless Sensor Networks; Location privacy preserving; Location anonymity; Phantom routing}","",""
7,"","ISI:000447216400001","Kang, Xu; Song, Bin; Guo, Jie; Du, Xiaojiang; Guizani, Mohsen","Attention-mechanism-based tracking method for intelligent Internet of vehicles","{INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS}",{14},{10},"{OCT 11}","",{2018},"{2455 TELLER RD, THOUSAND OAKS, CA 91320 USA}","","","","","","","","{SAGE PUBLICATIONS INC}","","","","","","","{Vehicle tracking task plays an important role on the Internet of
    vehicles and intelligent transportation system. Beyond the traditional
    Global Positioning System sensor, the image sensor can capture different
    kinds of vehicles, analyze their driving situation, and can interact
    with them. Aiming at the problem that the traditional convolutional
    neural network is vulnerable to background interference, this article
    proposes vehicle tracking method based on human attention mechanism for
    self-selection of deep features with an inter-channel fully connected
    layer. It mainly includes the following contents: (1) a fully
    convolutional neural network fused attention mechanism with the
    selection of the deep features for convolution; (2) a separation method
    for template and semantic background region to separate target vehicles
    from the background in the initial frame adaptively; (3) a two-stage
    method for model training using our traffic dataset. The experimental
